index,0
rugrats in paris: the movie,1
avatar,19
the amazing spider-man,2
cars 2,1
a christmas carol,1
pearl harbor,2
men in black 3,2
the dark knight rises,1
tangled,2
brave,1
blue car,2
escape plan,2
titanic,1
cheaper by the dozen,1
